"Year" "Age" "Deaths" "Exposure"
"1" 1921 20 269.08 73227.35
"2" 1921 21 296.78 71127.2
"3" 1921 22 266.26 69917.95
"4" 1921 23 292.79 69596.01
"5" 1921 24 258.71 69641.83
"6" 1921 25 276.75 69791.69
"7" 1921 26 279.85 69953.19
"8" 1921 27 290.31 69868.76
"9" 1921 28 305.4 69491.9
"10" 1921 29 271.9 69049.85
"11" 1921 30 274.33 68608.72
"12" 1921 31 244.52 68293.22
"13" 1921 32 284.09 68395.64
"14" 1921 33 278.44 68855.5
"15" 1921 34 266.99 69376.85
"16" 1921 35 353.91 69831.31
"17" 1921 36 316.17 69849.14
"18" 1921 37 295.47 68833.26
"19" 1921 38 395.23 66729.25
"20" 1921 39 299.36 64216.18
"21" 1921 40 399.32 61655.41
"22" 1921 41 313.33 59109
"23" 1921 42 382.7 56874.95
"24" 1921 43 304.88 54976.35
"25" 1921 44 303.08 53180.06
"26" 1921 45 392.55 51255.96
"27" 1921 46 345.03 49315.72
"28" 1921 47 339.16 47523.86
"29" 1921 48 393.93 45845.25
"30" 1921 49 362.93 44238.44
"31" 1921 50 458.54 42675.19
"32" 1921 51 334.54 41065.76
"33" 1921 52 441.68 39215.37
"34" 1921 53 400.24 37092.26
"35" 1921 54 413.48 34943.08
"36" 1921 55 452.32 32809.79
"37" 1921 56 469.62 30856.79
"38" 1921 57 425.16 29489.06
"39" 1921 58 510.5 28692.6
"40" 1921 59 500.76 28088.55
"41" 1921 60 586.57 27489.42
"42" 1921 61 500.83 26788.15
"43" 1921 62 609.07 25693.2
"44" 1921 63 604.77 24133.56
"45" 1921 64 569.68 22492.56
"46" 1921 65 702.68 20886.77
"47" 1921 66 564.94 19323.05
"48" 1921 67 637.29 17956.31
"49" 1921 68 685.54 16719.06
"50" 1921 69 614.08 15559.67
"51" 1921 70 740.25 14388.04
"52" 1921 71 582.45 13237.88
"53" 1921 72 710.35 12139.25
"54" 1921 73 673.49 11025.25
"55" 1921 74 658.23 9965.1
"56" 1921 75 675.05 8957.74
"57" 1921 76 665.46 7989.31
"58" 1921 77 607.93 7107.03
"59" 1921 78 651.08 6297.32
"60" 1921 79 573.6 5641.09
"61" 1921 80 620.93 5071.8
"62" 1921 81 435.33 4395.87
"63" 1921 82 446.19 3686.05
"64" 1921 83 462.6 3136.39
"65" 1921 84 441.35 2697.62
"66" 1921 85 380.59 2186.28
"67" 1921 86 325.86 1716.58
"68" 1921 87 301.55 1378.96
"69" 1921 88 272.19 1092.55
"70" 1921 89 184.73 833.18
"71" 1921 90 146.87 637.02
"72" 1921 91 114.56 484.19
"73" 1921 92 91.89 365.26
"74" 1921 93 63.51 268.82
"75" 1921 94 51.69 196.78
"76" 1921 95 43.48 144.69
"77" 1921 96 27.51 104.82
"78" 1921 97 24.95 75.99
"79" 1921 98 21.98 51.67
"80" 1921 99 9.14 37.18
"81" 1922 20 268.01 74977.06
"82" 1922 21 278.85 72471.69
"83" 1922 22 287.36 70648.92
"84" 1922 23 292.91 69837.96
